"","tract","id","meals","hot_meals","home_meals","community_kitchen","child_meals","meal_other","groceries","pantry","backpack","home_groceries","mobile_pantry","mobile_market","supply_other","community_garden","groceries_other","food_ben","snap","wic","school","gift","food_ben_other","nonfood_ben","job","house","utility","legal","educ","health","counseling","trans","cloth","ref","medicaid","money","nonfood_ben_other","clients","Street.Address","City","State","Zip","County","povpop10071","povpopd71","povpop_1m","povpopd711mile","povpop_3m","povpopd713mile","nhwht71","pop71","nhwht711mile","nhwht713mile","blk71","blk711mile","blk713mile","hsp71","hsp711mile","hsp713mile","hhsnapfam271","hhsnapfam171","hhsnapfam2711mile","hh711mile","hhsnapfam2713mile","hh713mile","pov_rateT","pov_rate1","pov_rate3","white_rateT","white_rate1","white_rate3","black_rateT","black_rate1","black_rate3","hisp_rateT","hisp_rate1","hisp_rate3","snap_rateT","snap_rate1","snap_rate3","tract_short","county_fips"
"1","26163530100","1","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,NA,NA,400,"1840 Midland","Detroit","MI","48238","Wayne",1077,2739,8477,14887,53836,161796,45,2768,795,7251,2586,14494,149675,0,77,937,397,1041,2229,5182,20740,59482,0.393209200438116,0.569422986498287,0.332739993572153,0.016257225433526,0.0534022973063747,0.0448156938366832,0.934248554913295,0.973601128501377,0.925084674528418,0,0.0051722979781017,0.00579124329402457,0.381364073006724,0.430142802006947,0.348676910662049,"163530100","163"
"2","26163530800","103","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"Counseling",NA,"Clothing/furniture",NA,NA,NA,NA,200,"5027 W Boston Blvd.","Detroit","MI","48204","Wayne",1199,2200,8670,18243,68388,161369,31,2288,272,20347,2245,17970,130635,0,38,9866,330,726,3062,6949,22499,58128,0.545,0.475250781121526,0.42379887091077,0.013548951048951,0.014909828427342,0.126089893350024,0.981206293706294,0.985035356026969,0.809542105361005,0,0.00208299073617278,0.0611393762122837,0.454545454545455,0.440638940854799,0.387059592623176,"163530800","163"
"3","26163516800","104","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,"Utility assistance",NA,NA,NA,NA,NA,"Clothing/furniture","Referrals to other programs",NA,NA,NA,112,"3000 Gratiot","Detroit","MI","48207","Wayne",593,990,4693,11559,36334,87252,6,1017,476,13984,997,11042,71573,12,82,1303,129,399,2078,5682,13961,41407,0.598989898989899,0.406003979583009,0.416425984504653,0.00589970501474926,0.0411800328748162,0.160271397790309,0.980334316617502,0.955272947486807,0.820302113418604,0.0117994100294985,0.00709403927675404,0.0149337551001696,0.323308270676692,0.365716297078494,0.337165213611225,"163516800","163"
"4","26163531900","105","Yes","Soup kitchen/hot meals",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"DK/Refuse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DK/Refuse",200,"1605 W. Davison Avenue","Detroit","MI","48238","Wayne",638,1027,7455,20779,61279,148678,79,1144,554,16703,1065,20029,123606,0,83,900,169,342,2926,7388,21512,55304,0.621226874391431,0.358775686991674,0.412159162754409,0.069055944055944,0.0266615332787911,0.112343453638063,0.930944055944056,0.963905866499832,0.831367115511374,0,0.00399441744068531,0.00605335019303461,0.494152046783626,0.396047644829453,0.388977289165341,"163531900","163"
"5","26163531400","106","Yes","Soup kitchen/hot meals",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,"Housing assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,"11529 Linwood Ave.","Detroit","MI","48223","Wayne",986,2336,8168,22986,61284,142356,5,2336,440,7333,2325,22652,130294,6,31,3133,255,666,3597,8493,21027,53723,0.42208904109589,0.355346732793875,0.430498187642249,0.00214041095890411,0.0191420864874271,0.0515117030543145,0.995291095890411,0.985469416166362,0.915268762819972,0.00256849315068493,0.00134864700252328,0.0220082047823766,0.382882882882883,0.423525256093253,0.391396608528935,"163531400","163"
"6","26125131800","107","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,"Financial assistance, tax prep, budgeting",NA,890,"2029 N. Milford Road","Highland","MI","48357","Oakland",739,3924,NA,3924,1362,16961,3875,3949,3875,16235,0,0,300,20,20,225,168,1481,168,1481,471,6165,0.188328236493374,NA,0.0803018689935735,0.981261078754115,0.987512742099898,0.957195920051884,0,0,0.0176876363421968,0.00506457330969866,0.00509683995922528,0.0132657272566476,0.113436866981769,0.113436866981769,0.0763990267639903,"125131800","125"
"7","26163521300","112","Yes","Soup kitchen/hot meals",NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,"Housing assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3040,"3301 23rd Street","Detroit","MI","48208","Wayne",305,1039,2853,7433,49954,118087,2,1039,652,19172,828,5221,59806,147,1531,37629,139,340,1009,2828,16918,45791,0.293551491819057,0.383828871249832,0.423027090196211,0.00192492781520693,0.0877169379792816,0.162354873948868,0.796920115495669,0.702408179739002,0.50645710366086,0.141482194417709,0.205973362034172,0.3186548900387,0.408823529411765,0.356789250353607,0.369461247843463,"163521300","163"
"8","26163540100","113","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes","Job training/assistance",NA,"Utility assistance",NA,NA,NA,NA,NA,"Clothing/furniture","Referrals to other programs",NA,NA,NA,240,"16000 Pembroke Ave.","Detroit","MI","48235","Wayne",1065,3337,4594,16641,41344,155267,58,3341,302,18046,3235,16082,133418,9,72,1313,356,1225,1925,6382,14085,58578,0.319148936170213,0.276065140316087,0.266276800607985,0.01736007183478,0.0181479478396731,0.11622559848519,0.968272972164023,0.96640826873385,0.859281109314922,0.00269380425022448,0.00432666306111412,0.00845640090940123,0.290612244897959,0.301629583202758,0.240448632592441,"163540100","163"
"9","26099241500","119","Yes","Soup kitchen/hot meals",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Gift cards/vouchers for local grocery stores",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"35851 Utica Rd.","Clinton Township","MI","48035","Macomb",120,3343,446,10786,9167,111562,2918,3362,10045,95793,255,474,8439,61,247,2887,97,1608,286,4682,4277,46058,0.0358959018845348,0.0413498980159466,0.0821695559419874,0.867935752528257,0.931299833117003,0.858652587798713,0.0758477096966092,0.0439458557389208,0.0756440364998835,0.0181439619274242,0.0229000556276655,0.0258779871282336,0.0603233830845771,0.0610850064075182,0.0928611750401667,"099241500","099"
"10","26163522300","121","Yes","Soup kitchen/hot meals",NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes","Job training/assistance",NA,NA,NA,NA,"Health services",NA,NA,"Clothing/furniture",NA,NA,NA,NA,5795,"2424 W. Grand Blvd","Detroit","MI","48208","Wayne",1120,1846,7101,12994,58080,134842,108,1846,1427,14092,1723,10768,93542,4,193,25155,468,870,2191,5546,20652,52155,0.606717226435536,0.546482992150223,0.430726331558416,0.0585048754062839,0.109819916884716,0.104507497663933,0.933369447453954,0.828690164691396,0.693715607896649,0.00216684723726977,0.0148530090811144,0.186551667877961,0.537931034482759,0.395059502344032,0.395973540408398,"163522300","163"
